"","suspect","age","hair","eyes","region"
"1",1,42,"h_red","e_brown","Bronx"
"2",2,20,"h_black","e_green","Bronx"
"3",3,64,"h_brown","e_brown","Brooklyn"
"4",4,55,"h_blonde","e_brown","Bronx"
"5",5,4,"h_brown","e_green","Manhattan"
"6",6,61,"h_blonde","e_green","Bronx"
"7",7,61,"h_white","e_black","Queens"
"8",8,32,"h_blonde","e_brown","Manhattan"
"9",9,39,"h_blonde","e_black","Brooklyn"
"10",10,50,"h_brown","e_brown","Manhattan"
"11",11,41,"h_red","e_blue","Manhattan"
"12",12,35,"h_blonde","e_green","Brooklyn"
"13",13,56,"h_blonde","e_brown","Bronx"
"14",14,52,"h_red","e_brown","Queens"
"15",15,55,"h_red","e_green","Brooklyn"
"16",16,25,"h_brown","e_brown","Queens"
"17",17,52,"h_blonde","e_brown","Brooklyn"
"18",18,28,"h_red","e_brown","Manhattan"
"19",19,21,"h_white","e_blue","Manhattan"
"20",20,66,"h_black","e_black","Brooklyn"
"21",21,67,"h_blonde","e_brown","Queens"
"22",22,13,"h_white","e_blue","Brooklyn"
"23",23,39,"h_brown","e_green","Manhattan"
"24",24,47,"h_black","e_green","Brooklyn"
"25",25,54,"h_blonde","e_brown","Bronx"
"26",26,75,"h_brown","e_blue","Brooklyn"
"27",27,3,"h_white","e_green","Manhattan"
"28",28,40,"h_white","e_green","Manhattan"
"29",29,58,"h_red","e_blue","Queens"
"30",30,41,"h_brown","e_green","Bronx"
"31",31,25,"h_white","e_black","Brooklyn"
"32",32,75,"h_blonde","e_blue","Manhattan"
"33",33,58,"h_white","e_brown","Bronx"
"34",34,61,"h_white","e_brown","Manhattan"
"35",35,52,"h_white","e_blue","Bronx"
"36",36,19,"h_red","e_black","Queens"
"37",37,58,"h_red","e_black","Bronx"
"38",38,46,"h_black","e_green","Manhattan"
"39",39,74,"h_brown","e_black","Manhattan"
"40",40,26,"h_blonde","e_brown","Brooklyn"
"41",41,63,"h_blonde","e_blue","Queens"
"42",42,40,"h_brown","e_black","Queens"
"43",43,65,"h_black","e_brown","Brooklyn"
"44",44,51,"h_blonde","e_brown","Brooklyn"
"45",45,15,"h_white","e_black","Brooklyn"
"46",46,32,"h_blonde","e_brown","Bronx"
"47",47,68,"h_white","e_black","Manhattan"
"48",48,51,"h_white","e_black","Queens"
"49",49,14,"h_red","e_green","Queens"
"50",50,72,"h_white","e_brown","Brooklyn"
"51",51,7,"h_red","e_blue","Brooklyn"
"52",52,22,"h_red","e_brown","Bronx"
"53",53,52,"h_red","e_brown","Brooklyn"
"54",54,62,"h_brown","e_green","Bronx"
"55",55,41,"h_black","e_brown","Queens"
"56",56,32,"h_black","e_black","Manhattan"
"57",57,58,"h_brown","e_brown","Queens"
"58",58,25,"h_black","e_brown","Queens"
"59",59,70,"h_blonde","e_green","Brooklyn"
"60",60,64,"h_brown","e_blue","Queens"
"61",61,25,"h_white","e_blue","Bronx"
"62",62,42,"h_black","e_black","Brooklyn"
"63",63,56,"h_red","e_black","Brooklyn"
"64",64,41,"h_blonde","e_black","Brooklyn"
"65",65,8,"h_white","e_black","Manhattan"
"66",66,7,"h_black","e_green","Brooklyn"
"67",67,42,"h_white","e_brown","Queens"
"68",68,10,"h_white","e_blue","Manhattan"
"69",69,60,"h_brown","e_black","Bronx"
"70",70,52,"h_blonde","e_brown","Brooklyn"
"71",71,39,"h_brown","e_blue","Manhattan"
"72",72,69,"h_brown","e_green","Queens"
"73",73,67,"h_blonde","e_green","Manhattan"
"74",74,46,"h_red","e_black","Brooklyn"
"75",75,72,"h_black","e_black","Queens"
"76",76,66,"h_red","e_blue","Queens"
"77",77,4,"h_black","e_blue","Manhattan"
"78",78,62,"h_black","e_green","Brooklyn"
"79",79,10,"h_blonde","e_blue","Bronx"
"80",80,16,"h_blonde","e_black","Manhattan"
"81",81,59,"h_blonde","e_brown","Bronx"
"82",82,63,"h_blonde","e_blue","Manhattan"
"83",83,54,"h_red","e_blue","Queens"
"84",84,14,"h_brown","e_blue","Brooklyn"
"85",85,48,"h_black","e_green","Manhattan"
"86",86,59,"h_blonde","e_black","Bronx"
"87",87,73,"h_blonde","e_black","Bronx"
"88",88,51,"h_brown","e_brown","Bronx"
"89",89,14,"h_white","e_black","Bronx"
"90",90,58,"h_blonde","e_black","Queens"
"91",91,56,"h_red","e_green","Manhattan"
"92",92,26,"h_red","e_blue","Brooklyn"
"93",93,59,"h_brown","e_black","Manhattan"
"94",94,27,"h_white","e_green","Manhattan"
"95",95,38,"h_black","e_green","Manhattan"
"96",96,5,"h_blonde","e_green","Bronx"
"97",97,14,"h_black","e_blue","Queens"
"98",98,13,"h_black","e_brown","Manhattan"
"99",99,54,"h_white","e_blue","Brooklyn"
"100",100,66,"h_white","e_green","Manhattan"
"101",1,22,"h_red","e_black","Bronx"
"102",2,57,"h_blonde","e_black","Manhattan"
"103",3,29,"h_white","e_green","Queens"
"104",4,14,"h_blonde","e_black","Manhattan"
"105",5,47,"h_red","e_green","Bronx"
"106",6,32,"h_white","e_blue","Queens"
"107",7,49,"h_red","e_blue","Bronx"
"108",8,8,"h_white","e_black","Brooklyn"
"109",9,67,"h_white","e_brown","Bronx"
"110",10,68,"h_black","e_green","Bronx"
"111",11,15,"h_black","e_brown","Manhattan"
"112",12,46,"h_white","e_brown","Bronx"
"113",13,68,"h_white","e_black","Manhattan"
"114",14,55,"h_blonde","e_blue","Manhattan"
"115",15,7,"h_white","e_green","Bronx"
"116",16,10,"h_black","e_brown","Brooklyn"
"117",17,49,"h_red","e_blue","Manhattan"
"118",18,12,"h_brown","e_blue","Brooklyn"
"119",19,41,"h_white","e_blue","Bronx"
"120",20,10,"h_brown","e_blue","Bronx"
"121",21,12,"h_white","e_green","Manhattan"
"122",22,53,"h_white","e_blue","Manhattan"
"123",23,5,"h_black","e_black","Manhattan"
"124",24,46,"h_brown","e_black","Queens"
"125",25,14,"h_brown","e_black","Queens"
"126",26,55,"h_white","e_green","Brooklyn"
"127",27,53,"h_red","e_brown","Manhattan"
"128",28,31,"h_black","e_brown","Manhattan"
"129",29,31,"h_blonde","e_brown","Queens"
"130",30,55,"h_brown","e_black","Brooklyn"
